ADC1	ADC2
140	6
140	10
140	8
139	6
140	7
139	7
141	8
142	8
144	8
141	8
141	6
140	7
141	7
139	7
144	12
142	8
141	8
141	8
141	8
140	8
139	9
143	6
141	8
143	11
144	7
139	9
143	8
140	7
141	9
139	7
142	10
143	9
143	7
141	7
141	9
141	8
139	8
141	8
142	6
142	7
141	10
142	8
141	8
141	4
139	7
139	7
142	7
140	10
144	7
140	7
139	12
141	7
141	8
142	11
138	6
139	8
140	6
142	7
141	7
141	8
144	8
142	6
140	8
142	8
140	7
145	8
142	7
140	9
141	9
140	9
140	8
141	8
141	8
142	8
144	10
143	8
142	7
142	9
141	8
140	8
141	8
142	8
141	6
141	7
144	7
142	9
140	6
140	6
141	8
140	6
140	8
140	7
142	10
141	7
142	9
143	8
143	9
141	8
138	9
141	7
141	7
141	8
142	8
142	7
140	5
142	6
137	9
140	7
144	6
140	7
142	6
141	6
141	4
142	9
140	9
141	6
142	6
142	7
140	8
140	10
139	9
140	12
141	9
140	10
139	8
141	6
141	9
140	10
142	12
137	9
142	11
141	5
138	6
144	8
140	10
141	8
142	13
141	7
141	5
139	8
141	8
143	9
141	8
142	10
140	7
141	10
141	7
142	9
139	7
141	8
142	7
142	9
142	8
140	8
140	7
141	6
140	8
143	8
140	6
141	6
141	7
143	9
140	6
140	8
140	7
140	8
142	8
139	8
141	8
141	8
139	8
141	8
141	8
141	7
141	7
140	10
141	8
140	6
140	9
141	6
144	6
140	5
142	8
143	9
139	7
141	8
140	8
140	8
141	6
141	6
141	7
140	10
140	10
143	7
142	8
140	8
141	8
144	9
140	7
141	7
142	8
141	7
140	6
142	10
140	8
140	7
140	8
141	8
141	8
141	8
140	8
140	8
140	5
141	9
141	8
141	8
140	12
140	8
144	8
144	8
142	6
141	6
142	10
142	9
140	10
142	8
144	8
141	10
140	7
140	6
141	8
139	7
142	7
143	5
141	6
138	6
139	7
142	8
141	7
139	7
142	8
143	9
142	6
141	10
141	8
141	8
140	8
142	7
140	8
140	12
143	4
140	8
142	7
140	8
139	9
143	6
141	11
140	6
142	7
140	8
142	6
141	8
141	8
140	8
142	10
139	8
141	8
142	5
138	8
142	8
141	6
140	7
140	8
140	8
141	9
139	6
140	7
142	10
139	8
144	7
143	8
142	8
143	8
141	7
140	6
140	8
138	6
144	8
142	8
142	7
142	8
141	10
142	7
141	5
143	6
143	8
143	7
142	7
140	8
139	8
141	7
146	8
139	7
140	8
142	7
141	9
144	8
140	7
140	4
140	8
140	9
141	7
138	9
141	8
144	8
140	8
143	8
141	8
144	8
140	8
142	10
141	9
140	8
140	7
142	10
140	7
139	9
142	9
141	6
143	7
144	8
140	8
141	8
139	8
141	16
141	8
142	8
140	4
146	8
140	6
140	11
140	9
139	8
140	7
141	8
144	15
140	8
141	9
143	8
140	9
141	9
141	8
143	7
141	10
142	7
140	8
141	7
140	10
141	6
138	4
141	8
141	9
140	6
140	9
140	9
141	8
144	6
140	8
139	7
141	7
141	8
142	9
140	8
138	8
140	8
141	7
142	7
146	8
139	6
140	5
143	7
140	8
141	9
142	9
139	5
141	8
140	10
138	10
142	10
142	6
139	8
139	6
140	8
140	8
141	6
139	10
139	5
140	8
143	8
142	6
144	7
141	10
141	8
139	8
140	8
141	9
143	7
140	9
144	5
141	7
141	7
142	10
141	4
142	6
140	7
140	10
142	8
140	6
143	8
139	6
142	7
141	8
138	10
141	8
142	7
142	7
140	7
140	8
140	8
143	8
142	8
141	8
141	7
142	10
137	8
140	6
141	7
140	8
141	8
142	4
140	9
142	6
142	8
140	9
141	10
143	9
142	9
142	7
140	7
139	9
140	9
141	6
141	8
141	7
142	7
141	14
140	8
142	10
140	8
139	8
142	8
142	8
140	7
141	9
142	7
141	7
140	8
142	4
140	6
140	8
141	8
143	8
140	9
142	8
139	6
140	9
141	8
141	7
142	11
141	7
141	9
139	10
142	7
141	9
142	5
141	9
144	8
142	8
141	8
141	10
141	8
141	8
140	9
140	7
140	6
141	6
140	8
140	8
142	8
141	9
143	7
141	7
139	8
139	5
141	8
141	8
141	8
141	9
142	7
141	6
142	9
142	8
139	8
140	7
139	6
140	9
139	8
142	7
142	10
141	8
141	7
141	8
141	9
142	8
142	7
138	11
141	7
138	9
139	8
141	8
134	8
138	11
139	10
142	6
141	6
142	8
142	7
140	7
141	8
139	7
142	9
140	7
141	8
141	8
142	5
143	8
140	7
142	9
142	8
141	7
140	6
142	8
142	11
140	8
140	7
144	7
139	8
139	10
140	7
141	5
140	6
140	8
144	9
140	10
140	6
139	8
142	9
140	6
138	5
141	8
141	9
142	12
134	8
143	10
139	7
140	7
141	9
140	8
142	8
142	7
140	9
140	9
139	9
140	9
140	7
137	8
140	5
141	8
142	9
138	9
140	8
141	8
144	7
138	8
142	8
138	8
143	8
141	11
141	9
141	9
143	3
139	6
142	9
140	10
144	19
141	10
141	8
141	6
140	8
141	7
144	8
142	8
138	5
140	6
141	6
139	6
141	5
141	8
141	10
140	8
143	8
142	8
141	8
142	8
141	8
142	10
141	8
143	9
138	8
142	8
142	8
139	6
141	9
142	11
138	9
140	8
140	8
140	6
141	9
139	8
139	7
140	8
142	10
141	10
140	8
140	8
144	8
140	7
139	7
140	7
141	8
143	6
144	7
138	6
141	9
143	8
140	8
141	6
140	8
141	8
143	8
141	8
141	7
141	8
141	8
140	8
141	6
142	8
141	8
141	6
142	7
141	9
142	5
143	8
140	8
140	4
141	8
141	9
140	7
140	7
140	8
143	13
141	8
138	7
140	6
141	10
141	8
140	9
141	8
141	6
142	7
141	9
141	8
143	6
141	8
141	10
141	8
142	6
140	7
141	10
141	9
141	6
142	10
140	7
139	7
144	7
139	11
140	7
141	7
139	7
140	8
141	7
140	8
141	8
138	7
141	10
143	8
139	8
141	8
138	11
140	10
141	9
141	10
142	4
147	8
141	7
140	9
140	9
141	7
140	8
141	6
141	4
140	7
141	5
139	6
142	6
140	10
140	7
140	8
140	7
140	9
142	8
139	9
142	8
142	7
138	9
144	8
140	7
141	5
139	13
140	7
140	8
142	6
140	10
141	7
140	6
142	10
140	8
142	8
141	8
140	6
139	8
140	8
141	8
142	8
142	9
140	8
139	9
141	8
142	8
141	8
140	6
141	8
142	6
138	7
140	6
144	8
140	5
141	7
139	10
141	6
143	6
139	6
140	8
141	9
142	7
141	8
141	7
141	9
140	8
141	7
142	11
140	8
140	8
142	8
142	8
141	8
143	8
140	9
141	8
143	8
141	8
141	7
139	10
140	10
142	3
140	8
143	7
140	7
143	8
142	8
140	6
140	9
142	7
139	6
141	6
140	6
141	7
141	6
141	7
141	7
140	10
139	8
140	9
139	7
141	8
141	7
142	6
141	11
141	8
142	9
139	8
140	8
142	11
141	7
141	8
140	9
141	8
