ADC1	ADC2
1230	31
1424	37
1425	27
1206	26
1483	34
1342	28
1207	26
1501	31
1274	25
1246	43
1474	28
1230	26
1426	41
1422	26
1212	29
1484	33
1344	26
1208	31
1499	28
1268	26
1241	42
1475	28
1232	29
1429	40
1424	27
1210	32
1483	30
1344	27
1205	30
1499	32
1267	28
1241	42
1476	26
1235	26
1423	39
1422	26
1212	31
1485	32
1345	22
1209	30
1498	32
1273	27
1240	41
1474	27
1233	29
1422	41
1421	27
1208	28
1482	32
1346	27
1208	29
1501	26
1270	31
1241	45
1475	28
1228	31
1427	40
1425	26
1210	32
1483	34
1346	25
1210	30
1496	32
1270	25
1242	42
1475	28
1228	27
1424	41
1424	28
1211	29
1483	33
1344	25
1208	27
1499	29
1272	26
1240	42
1475	32
1230	28
1424	39
1428	28
1213	28
1489	37
1344	24
1208	30
1498	29
1271	27
1239	43
1476	27
1230	27
1421	40
1422	29
1215	29
1485	36
1344	26
1205	31
1498	32
1272	25
1236	40
1474	26
1233	28
1423	37
1425	28
1213	32
1482	34
1347	25
1209	29
1498	31
1272	26
1238	42
1477	30
1230	29
1421	40
1427	27
1209	32
1483	35
1347	22
1206	30
1494	31
1270	28
1230	41
1477	31
1233	26
1421	41
1424	27
1216	29
1481	37
1344	26
1214	33
1497	35
1276	29
1233	39
1475	27
1232	28
1416	41
1427	27
1209	29
1481	34
1348	22
1207	33
1498	31
1278	28
1235	39
1478	30
1228	28
1423	36
1425	25
1211	32
1479	32
1346	31
1205	29
1498	30
1269	28
1233	42
1479	29
1229	30
1421	40
1420	23
1212	28
1482	32
1346	25
1203	33
1500	32
1267	25
1237	42
1478	27
1235	27
1420	40
1424	28
1210	30
1480	34
1347	24
1207	30
1492	30
1268	25
1244	37
1475	29
1226	27
1421	40
1423	27
1209	32
1481	36
1344	25
1205	33
1500	32
1271	28
1244	42
1475	28
1229	29
1423	38
1422	30
1209	30
1485	33
1343	25
1204	29
1495	32
1269	28
1240	40
1476	28
1228	28
1427	38
1423	27
1209	28
1481	31
1339	25
1203	29
1497	32
