ADC1	ADC2
1201	28
1492	31
1299	27
1210	30
1487	30
1240	29
1358	47
1445	29
1213	30
1462	42
1381	25
1203	29
1493	31
1298	30
1208	32
1492	32
1240	32
1349	46
1450	28
1218	32
1457	35
1384	27
1199	30
1491	33
1301	25
1207	30
1490	30
1243	27
1338	48
1452	29
1218	30
1459	37
1387	27
1205	30
1492	33
1304	24
1206	32
1491	28
1245	32
1331	46
1454	26
1220	26
1453	40
1387	25
1205	28
1492	33
1306	27
1204	38
1489	30
1244	27
1316	44
1458	27
1219	30
1453	35
1391	30
1201	32
1490	32
1310	25
1201	32
1491	35
1243	27
1303	46
1454	27
1217	30
1447	38
1394	27
1204	28
1488	33
1313	24
1201	30
1492	28
1248	27
1292	49
1458	30
1220	29
1446	37
1402	28
1207	30
1488	33
1317	25
1205	30
1497	29
1251	27
1287	43
1460	29
1220	27
1445	37
1404	24
1203	31
1489	30
1319	27
1206	32
1494	30
1252	28
1277	48
1464	26
1219	29
1442	37
1401	25
1205	30
1484	33
1323	26
1207	30
1495	32
1254	29
1268	48
1464	28
1221	32
1442	40
1406	24
1203	28
1490	34
1325	24
1202	32
1492	30
1256	28
1259	47
1465	29
1224	28
1439	36
1411	26
1205	34
1483	32
1325	26
1198	30
1493	33
1259	24
1252	44
1465	26
1221	30
1435	36
1409	26
1206	29
1487	32
1326	24
1204	32
1495	35
1261	26
1257	44
1466	26
1225	29
1434	40
1411	28
1206	30
1487	34
1330	24
1204	32
1495	32
1260	26
1249	44
1468	28
1227	28
1434	39
1412	23
1207	31
1484	32
1328	23
1204	32
1492	32
1259	26
1249	44
1471	30
1223	27
1433	40
1411	27
1208	32
1481	34
1335	22
1202	32
1499	31
1257	27
1247	44
1467	30
1224	26
1426	41
1414	26
1201	32
1482	33
1329	28
1201	32
1494	30
1262	26
1243	42
1470	26
1225	26
1428	35
1417	25
1207	30
1482	39
1333	26
1202	29
1495	35
1263	24
1245	43
1471	29
1228	33
1425	39
1417	25
1207	28
1479	34
1340	26
1200	32
1494	30
1263	24
1240	45
1470	29
1225	30
1426	38
1416	28
1204	30
1481	32
1336	25
1202	29
1496	30
1266	24
1232	44
1473	25
1225	30
1422	39
1419	25
1205	27
1479	34
1339	26
1203	32
1492	28
1263	29
1231	38
1474	29
1227	27
1420	38
1419	25
1207	28
1481	34
1343	27
1197	32
1495	29
1267	27
1230	40
1473	27
1228	29
1414	40
1425	27
1205	30
1476	32
1343	25
1203	30
1497	29
1270	28
1226	41
1472	29
1224	29
1414	42
1425	25
1206	31
1477	35
1348	26
1201	30
1492	30
1268	23
1230	40
1474	29
1226	32
1414	40
1425	25
1205	33
1480	34
1344	25
1202	32
1493	29
1270	31
1223	39
1477	28
1229	27
1408	45
1425	28
1208	28
1477	34
1349	25
1201	29
1492	28
1273	28
1224	38
1477	30
1225	28
1410	40
1427	27
1202	30
1474	37
1350	26
1203	32
1494	32
1275	28
1226	38
1474	29
1231	28
1402	40
1425	28
1208	29
1473	33
1351	24
1203	28
1495	30
1272	24
1219	38
1477	27
1228	28
1401	41
1428	23
1207	33
1472	36
1353	26
1202	28
1493	32
1276	28
1215	37
1479	29
1233	33
1395	42
1429	27
1209	30
1473	34
1356	25
1196	30
1495	32
1276	24
1216	40
1478	29
1233	28
1395	41
1429	28
1207	35
1471	36
1356	25
1200	32
1493	29
1277	27
1215	36
1478	28
1232	29
1402	43
1431	28
1207	32
1473	35
1353	24
1204	31
1492	31
1274	27
1215	37
1479	30
1231	25
1399	42
1431	26
1209	30
1475	32
1356	23
1204	29
1494	32
1277	24
1217	35
1477	29
1230	29
1394	42
1430	27
1207	29
1472	37
1357	25
1203	29
1494	32
1276	22
1217	35
1477	30
1232	28
1391	41
1432	28
1207	28
1475	34
1357	27
1197	32
1494	34
1281	29
1217	37
1476	29
1229	29
1391	44
1431	24
1205	30
1471	33
1361	25
1197	31
1494	32
1280	27
1214	37
1480	27
1231	27
1392	43
1433	28
1212	28
1471	36
1360	26
1202	31
1493	32
1279	25
1216	36
1477	32
1233	27
1393	38
1432	27
1211	29
1469	38
1358	27
1200	31
1491	30
1282	27
1215	35
1479	32
1233	30
1388	43
1429	26
1207	28
1470	35
1361	24
1200	32
1493	32
1282	25
1217	36
1481	35
1232	30
1386	42
1433	28
