ADC1	ADC2
2782	26
3024	45
3080	29
2753	30
3133	38
2980	24
2738	31
3162	32
2863	28
2752	36
3152	32
2788	28
3015	49
3089	27
2752	34
3133	34
2985	22
2732	33
3160	34
2867	27
2748	33
3156	28
2790	29
3003	48
3089	25
2755	29
3130	39
2993	23
2737	29
3159	34
2876	26
2749	36
3156	32
2794	27
2980	50
3094	28
2758	34
3122	38
3000	26
2733	32
3159	34
2879	26
2743	38
3156	29
2796	26
2966	51
3100	30
2761	28
3116	44
3003	24
2739	28
3160	35
2888	26
2746	33
3161	30
2800	29
2934	52
3102	28
2759	30
3109	39
3014	27
2741	33
3158	33
2896	25
2742	35
3163	29
2803	26
2900	55
3112	26
2760	30
3104	40
3025	25
2738	35
3153	36
2905	28
2733	30
3167	28
2807	28
2867	59
3119	24
2767	29
3094	40
3032	26
2738	30
3154	32
2914	24
2739	34
3163	32
2816	23
2837	55
3121	28
2773	28
3086	42
3040	27
2741	30
3146	37
2923	23
2738	32
3167	34
2819	25
2819	54
3126	25
2768	27
3079	41
3046	28
2744	32
3150	30
2927	22
2736	32
3167	35
2820	27
2799	47
3129	30
2772	30
3071	44
3053	24
2744	30
3148	42
2938	26
2738	32
3167	33
2830	28
2790	45
3134	30
2773	27
3057	43
3059	27
2741	30
3142	36
2948	24
2736	34
3165	33
2839	27
2780	46
3135	30
2780	30
3044	43
3065	28
2745	28
3144	37
2951	24
2739	32
3169	33
2847	28
2765	42
3140	31
2782	32
3037	44
3072	28
2745	32
3135	36
2968	24
2736	32
3164	32
2856	26
2758	40
3144	28
2780	29
3017	48
3080	29
2747	34
3131	38
2977	25
2735	33
3165	33
2859	26
2752	37
3145	28
2788	27
2993	50
3088	26
2750	32
3127	38
2987	26
2735	29
3163	34
2870	26
2746	35
3149	34
2796	26
2962	52
3089	26
2754	32
3118	38
2996	24
2731	33
3161	33
2876	26
2744	34
3157	29
2795	27
2931	53
3098	29
2752	26
3111	37
3009	31
2738	32
3162	34
2884	28
2740	29
3156	32
2801	27
2900	50
3106	29
2758	34
3105	42
3011	27
2738	30
3157	30
2893	26
2739	36
3159	30
2806	26
2867	54
3113	27
2760	30
3098	40
3025	22
2739	31
3157	34
2898	29
2734	33
3160	32
2809	26
2841	59
3116	28
2764	32
3091	38
3030	29
2742	30
3152	35
2907	26
2736	33
3160	32
2815	26
2814	56
3124	30
2762	30
3083	40
3045	27
2743	29
3150	35
2925	27
2739	32
3161	33
2819	26
2800	52
3128	27
2764	27
3078	42
3045	26
2741	30
3147	34
2932	27
2734	32
3162	32
2827	24
2781	47
3130	29
2768	28
3067	45
3049	25
2742	31
3145	33
2938	26
2733	32
3163	32
2831	25
2774	43
3136	27
2771	28
3056	45
3061	26
2741	29
3140	39
2948	22
2728	34
3164	35
2840	25
2764	41
3134	33
2772	27
3046	44
3065	27
2744	30
3141	39
2955	26
2733	27
3160	33
2849	25
2754	40
3138	27
2781	29
3035	46
3071	25
2742	29
3137	36
2960	26
2733	32
3159	30
2848	26
2749	38
3149	29
2777	27
3019	48
3076	28
2747	27
3131	38
2972	26
2732	31
3157	32
2861	27
2747	35
3149	32
2783	28
3006	50
3081	27
2748	31
3124	33
2981	24
2728	29
3159	34
2865	24
2745	36
3149	35
2791	29
2986	49
3088	28
2750	29
3121	41
2987	24
2732	33
3159	34
2873	27
2736	33
3153	30
2785	28
2964	52
3093	26
2754	32
3115	40
2999	26
2731	33
3157	37
2879	25
2735	36
3157	29
2797	26
2939	52
3096	30
2753	32
3108	43
3013	28
2736	33
3155	33
2887	24
