ADC1	ADC2
3062	27
2767	31
3173	31
2939	25
2766	36
3187	32
2838	28
2852	54
3143	29
2793	27
3113	41
3071	25
2762	32
3177	36
2945	27
2762	34
3190	32
2846	27
2841	54
3152	27
2791	28
3103	43
3069	27
2766	32
3172	36
2953	26
2760	30
3189	32
2851	28
2831	49
3153	26
2795	30
3101	45
3077	25
2773	32
3175	37
2954	24
2763	32
3186	31
2851	26
2826	52
3151	31
2801	30
3096	47
3082	26
2770	29
3173	37
2959	26
2761	33
3189	32
2854	27
2818	48
3152	30
2800	27
3087	42
3084	30
2769	30
3171	37
2965	23
2758	30
3188	32
2861	25
2809	48
3158	28
2800	27
3083	48
3083	23
2770	30
3169	34
2973	26
2762	32
3190	30
2864	26
2804	46
3162	33
2809	31
3076	42
3093	24
2771	32
3169	35
2979	25
2758	30
3188	33
2872	25
2796	43
3167	33
2806	27
3071	46
3097	29
2774	34
3163	35
2989	23
2762	33
3195	32
2875	25
2788	35
3165	27
2810	27
3061	48
3100	27
2774	26
3163	40
2993	26
2763	32
3193	34
2879	28
2783	40
3171	31
2810	29
3049	48
3104	24
2774	32
3157	36
3001	26
2765	28
3193	35
2883	25
2783	39
3167	30
2815	29
3038	49
3111	28
2775	30
3152	37
3003	25
2761	33
3196	33
2886	25
2782	38
3173	27
2814	29
3016	50
3112	24
2777	30
3155	39
3011	24
2763	33
3189	33
2894	25
2777	39
3174	30
2818	29
3003	51
3117	27
2776	30
3154	36
3014	25
2765	30
3191	34
2898	23
2777	35
3176	32
2818	33
2981	54
3118	27
2780	32
3144	36
3024	26
2766	30
3184	34
2906	26
2769	37
3175	32
2821	30
2961	53
3124	28
2782	30
3139	42
3031	23
2765	31
3185	25
2907	19
2767	26
3179	30
2824	29
2940	59
3132	29
2779	29
3136	41
3035	23
2766	35
3183	35
2913	26
2768	36
3178	30
2827	29
2922	56
3133	27
2782	30
3128	39
3041	22
2765	33
3181	34
2922	22
2761	25
3182	27
2828	30
2890	57
3133	25
2787	26
3118	40
3047	24
2765	30
3181	34
2924	26
2763	33
3184	33
2832	27
2866	56
3139	27
2785	27
3114	40
3055	25
2763	32
3179	33
2935	26
2761	34
3179	30
2839	29
2849	54
3141	25
2785	28
3108	43
3054	24
2763	30
3173	34
2936	27
2759	33
3183	30
2841	28
2835	49
3149	28
2785	29
3101	40
3060	32
2763	28
3171	34
2946	25
2758	34
3182	28
2844	28
2817	47
3147	29
2787	24
3094	42
3065	25
2761	30
3167	35
2948	25
2756	35
3180	30
2850	25
2803	46
3152	28
2792	28
3088	44
3076	26
2764	27
3172	32
2959	23
