ADC1	ADC2
2819	27
3007	52
3118	24
2780	30
3151	38
3025	25
2769	30
3187	34
2904	24
2772	36
3180	28
2821	29
2981	52
3121	28
2780	30
3142	38
3027	22
2761	33
3183	34
2909	27
2769	35
3183	37
2824	28
2953	56
3128	25
2785	30
3142	40
3039	25
2765	32
3186	36
2920	25
2764	36
3185	32
2827	27
2925	54
3134	29
2784	30
3131	41
3042	26
2759	30
3181	36
2923	24
2762	32
3187	33
2832	31
2903	55
3141	29
2784	29
3126	38
3057	24
2766	32
3180	34
2930	28
2761	32
3187	33
2833	26
2876	56
3140	32
2789	27
3118	42
3061	25
2763	31
3175	35
2935	25
2763	32
3187	32
2839	22
2861	55
3143	29
2789	28
3114	39
3068	27
2765	28
3175	34
2948	26
2762	32
3193	34
2848	29
2841	53
3147	30
2794	29
3102	43
3073	26
2771	30
3172	35
2951	22
2758	35
3188	34
2852	22
2822	48
3152	33
2797	29
3093	42
3079	27
2769	29
3169	34
2959	28
2757	32
3185	32
2854	26
2805	44
3156	28
2798	30
3091	42
3081	26
2769	31
3170	30
2970	27
2761	33
3188	32
2864	26
2795	47
3163	26
2798	29
3073	46
3089	26
2766	28
3168	36
2981	28
2756	30
3185	30
2872	25
2783	40
3158	30
2801	27
3061	47
3096	24
2765	34
3163	38
2987	26
2757	32
3188	33
2873	27
2783	38
3163	25
2805	29
3045	43
3101	28
2772	15
3156	20
2997	12
2755	28
3187	33
2879	25
2777	40
3169	29
2806	30
3025	48
3109	21
2774	29
3153	34
3004	22
2755	15
3184	16
2889	13
2771	32
3174	30
2811	28
3003	50
3110	29
2775	24
3151	39
3012	25
2757	34
3185	34
2893	20
2769	35
3174	29
2811	29
2984	52
3116	24
2775	32
3142	39
3020	26
2759	35
3188	36
2899	24
2770	35
3174	29
2816	30
2965	54
3119	26
2777	30
3140	38
3024	27
2760	26
3178	38
2905	26
2766	34
3177	30
2818	27
2939	54
3123	27
2775	26
3133	41
3033	25
2759	30
3180	33
2909	22
2766	35
3179	34
2827	27
2912	58
3133	31
2783	31
3124	39
3042	26
2760	29
3183	35
2918	24
2767	33
3186	32
2829	28
2890	55
3139	30
2780	29
3126	40
3048	24
2760	33
3181	34
2926	28
2761	31
3181	32
2831	28
2879	56
3141	29
2787	30
3119	40
3051	26
2764	32
3175	33
2928	29
2762	32
3183	32
2839	26
2857	52
3143	25
2787	29
3114	41
3057	26
2764	31
3177	35
2937	23
2757	28
3187	32
2837	29
2837	53
3148	32
2788	29
3106	42
3063	26
2767	32
3175	33
2947	24
2759	31
3185	32
2849	24
2825	49
3153	26
2792	30
3103	41
3073	23
2768	30
3177	34
2953	26
2764	32
3187	30
2852	23
2813	49
3155	26
2796	29
3094	42
3078	27
2771	31
3175	37
2965	26
2762	30
3192	35
2860	26
2806	45
3157	27
2804	32
3092	46
3082	26
2770	36
3172	37
2973	26
2762	32
3188	36
2863	29
2800	46
3166	30
2801	32
3084	45
3091	22
2773	30
3175	36
2977	25
2764	31
3191	34
2871	27
2799	44
3171	32
2802	28
3081	46
3090	31
2775	33
3172	36
2983	24
2766	30
3194	33
2873	26
2795	42
3170	28
2804	32
3071	43
3095	29
2776	29
3171	40
2986	23
2761	32
3186	33
2878	26
2790	42
3171	32
2804	28
3065	46
3097	29
2778	31
3168	40
2988	26
2759	32
3192	36
2877	24
2781	39
3171	28
2811	28
3058	47
3098	28
2773	30
3161	35
2993	27
2755	31
3183	34
2880	27
2779	38
3168	31
2800	28
3042	48
3097	24
2769	26
3155	35
2990	25
2757	32
3181	35
2881	26
2772	35
3166	32
2801	28
3031	47
3098	28
2769	30
3151	40
2997	26
2752	32
3177	34
2883	27
2766	36
3172	31
2807	29
3006	51
3104	26
2769	32
3145	37
3011	26
2751	30
3175	34
2890	29
2757	33
3172	30
2807	27
2991	51
3114	27
2768	27
3137	38
3018	22
2750	30
3175	38
2901	21
2754	34
3173	30
2811	28
2962	50
3114	25
2771	30
3130	38
3031	25
2750	28
3174	32
2901	29
2758	38
3170	31
2812	31
2933	57
3121	29
2773	30
3127	40
3028	25
2750	28
3171	32
2906	27
2751	36
3175	28
2816	28
2897	53
3119	26
2773	30
3111	40
3036	25
2750	32
3167	37
2915	24
2753	32
3178	29
2818	27
2888	56
3125	24
2773	30
3109	39
3039	27
2750	27
3167	36
2919	26
2751	34
3173	27
2824	27
2864	56
3128	28
2781	30
3107	39
3046	27
2749	32
3163	32
2930	25
2751	30
3178	31
2829	23
2853	55
3134	25
2775	29
3103	41
3053	26
2755	28
3168	36
2931	24
2749	32
3179	30
2828	27
2839	54
3138	28
2785	28
3100	42
3062	26
2754	31
3165	32
2936	26
2749	35
3183	30
2835	26
2834	53
3138	29
2786	30
3093	40
3064	24
2761	30
3166	34
2944	26
2753	30
3183	34
2836	25
2825	51
3148	32
2788	31
3089	46
3069	28
2760	32
3169	34
2953	24
2754	32
3183	32
2848	31
2813	48
3151	30
2790	28
3086	41
3074	26
2763	29
3170	33
2969	24
2757	32
3184	32
2854	25
2803	42
3153	27
2798	29
3082	44
3085	25
2768	30
3163	34
2966	24
2762	30
3190	32
2863	27
2804	46
3162	32
2801	26
3077	44
3088	26
2770	30
3166	32
2977	27
2762	32
3192	31
2864	27
2797	46
3164	30
2804	29
3075	44
3093	26
2773	32
3166	36
2986	26
2762	30
3192	29
2870	27
2795	41
3171	25
2811	25
3061	48
3100	31
2771	32
3165	36
2994	26
2765	32
3196	34
2877	25
2790	40
3173	28
2812	26
3054	46
3107	26
2780	28
3167	36
2998	24
2767	32
3198	34
2889	28
2790	40
3175	31
2811	29
3037	50
3114	27
2782	28
3163	40
3006	25
2767	28
3192	32
2891	28
2785	36
3176	29
2820	25
3034	52
3121	27
2783	28
3160	39
3010	26
2767	32
3197	30
2897	26
2783	35
3181	32
2825	28
3010	53
3122	25
2782	33
3160	38
3023	26
2770	32
3191	32
2900	30
2777	32
3180	29
2826	29
3002	52
3127	27
2787	30
3155	36
3029	24
2769	32
3193	30
2909	26
2777	36
3184	30
2829	28
2976	55
3126	26
2787	30
3151	38
3034	24
2769	29
3197	30
2912	24
2775	36
3187	26
2828	29
2966	53
3136	30
2787	30
3147	40
3035	27
2771	29
3189	36
2918	27
2775	34
3187	32
2833	29
2941	56
3135	25
2790	30
3143	39
3043	23
2767	30
3192	34
2918	26
2772	32
3190	32
2837	24
2934	52
3141	28
2790	28
3137	40
3050	25
2773	31
3192	36
2925	24
2774	36
3189	33
2837	29
2909	55
3139	27
2793	29
3133	40
3048	26
2774	29
3191	32
2934	30
2769	32
3192	32
2837	28
2900	53
3145	28
2793	28
3136	39
3057	23
2774	28
3192	36
2932	24
2771	32
3190	31
2842	26
2889	58
3144	29
2793	31
3130	43
3059	25
2773	32
3188	35
2938	24
2770	32
3192	30
2842	26
2873	55
3149	30
2794	29
3122	41
3065	24
2776	30
3188	35
2943	26
2767	30
3191	32
2847	28
2851	52
3156	28
2799	29
3120	41
3073	32
2772	32
3181	34
2952	24
2767	34
3195	30
2853	27
2834	52
3162	28
2796	32
3112	41
3081	27
2772	32
3184	33
2960	26
2769	36
3193	34
2858	26
2827	46
3157	29
2805	30
3105	43
3084	27
2779	32
3181	37
2965	25
2773	32
3196	33
2866	27
2815	48
3165	27
2804	31
3102	42
3093	29
2778	32
3176	38
2976	26
2770	30
3196	32
2869	26
2807	42
3168	32
2809	27
3094	43
3093	30
2780	29
3175	36
2981	55
2768	32
3198	34
2875	27
2800	38
3174	28
2811	33
3082	43
3101	27
2781	30
3178	33
2993	21
2771	33
3197	32
2885	24
2798	38
3184	29
2811	29
3073	45
3109	26
2785	33
3178	40
2999	26
2772	38
3192	32
2889	27
2794	38
3182	28
2820	28
3064	46
3114	28
2789	30
3174	38
3006	24
2772	31
3201	32
2897	24
2791	38
3188	28
2824	32
3052	47
3121	28
2790	32
3170	41
3018	26
2775	32
3200	35
2903	25
2791	36
3189	29
2823	28
3049	50
3123	26
2793	29
3168	38
3023	22
2774	32
3197	37
2907	26
2785	35
3195	30
2829	29
3031	48
3129	28
2794	32
3168	36
3026	26
2774	32
3198	32
2914	28
2783	36
3193	31
2832	28
3011	52
3136	30
2800	31
3158	40
3037	24
2775	30
3201	33
2916	24
2789	33
3194	32
2833	26
2996	49
3137	26
2797	29
3157	38
3042	28
2777	34
3200	32
2923	25
2784	32
3199	36
2835	27
2981	53
3140	30
2797	31
3155	42
3047	24
2778	31
3196	33
2924	26
2783	36
3197	26
2840	28
2963	51
3143	24
2800	28
3151	40
3051	27
2778	31
3194	35
2933	22
2778	33
3200	30
2841	32
2943	58
3146	26
2798	32
3146	37
3056	23
2777	32
3192	33
2935	23
2775	33
3197	30
2843	24
2916	55
3150	30
2799	30
3145	45
3065	23
2779	33
3192	34
2940	24
2775	36
3201	32
2848	25
2896	56
3151	30
2806	31
3131	41
3069	24
2777	30
3190	34
2952	23
2777	31
3201	32
2853	27
2874	61
3160	29
2804	30
3128	44
3077	26
2782	31
3187	34
2961	26
2777	35
3207	34
2860	25
2861	53
3161	29
2808	30
3123	40
3085	26
2783	29
3188	37
2958	28
2775	34
3206	32
2861	27
2853	54
3164	25
2810	28
3112	45
3089	30
2784	34
3190	40
2971	27
2776	37
3204	28
2866	26
2841	52
3167	29
2810	30
3111	42
3093	25
2782	32
3189	37
2974	20
2779	29
3201	29
2872	27
2833	49
3174	26
2811	29
3108	47
3097	25
2785	32
3182	36
2978	23
2774	29
3205	28
2871	24
2825	48
3176	29
2817	30
3098	42
3100	27
2787	33
3186	36
2990	26
2784	33
3204	33
2877	26
2813	44
3180	29
2815	29
3093	45
3106	23
2786	29
3184	36
2995	27
2776	32
3202	32
2882	25
2811	45
3179	28
2819	28
3089	49
3108	28
2785	30
3180	35
2999	23
2778	32
3206	33
2889	28
2802	40
3179	28
2822	28
3077	48
3113	24
2790	28
3177	34
3007	26
2773	32
3204	29
2888	23
2799	38
3190	30
2822	29
3062	47
3116	26
2788	28
3172	36
3014	25
2776	32
3204	32
2899	26
2795	38
3183	30
2825	30
3051	49
3123	26
2791	29
3174	36
3015	27
2774	33
3203	35
2898	26
2794	37
3184	28
2827	28
3034	52
3130	29
2790	30
3165	36
3023	26
2773	32
3205	30
2904	23
2785	39
3193	30
2829	24
3010	50
3127	26
2791	30
3163	38
3029	24
2775	32
3201	32
2912	28
2789	30
3188	25
2835	32
2991	54
3132	29
2790	27
3158	40
3034	26
2776	31
3205	33
2914	28
2781	35
3192	32
2836	31
2961	53
3141	26
2797	30
3153	36
3047	26
2774	30
3194	34
2925	26
2782	34
3188	31
2840	28
2939	58
3143	31
2794	32
3145	39
3055	26
2781	30
3193	35
2929	24
2774	37
3193	30
2842	26
2912	57
3145	26
2795	25
3138	41
3057	26
2776	35
3191	34
2935	25
2773	32
3194	32
2845	27
2893	58
3148	28
2795	29
3134	40
3063	26
2774	30
3187	36
2940	24
2771	32
3196	33
2847	29
2869	56
3147	33
2796	29
3123	41
3067	27
2775	31
3186	35
2947	25
2771	33
3191	32
2853	23
2848	52
3153	28
2799	30
3118	45
3073	25
2773	29
