ADC1	ADC2
2830	30
3241	32
2984	25
2831	33
3246	33
2893	27
2975	58
3199	25
2851	30
3183	40
3114	28
2830	32
3239	34
2992	24
2831	33
3249	35
2901	27
2951	55
3201	29
2856	24
3180	47
3121	26
2830	27
3238	37
3000	24
2828	32
3251	30
2906	25
2935	53
3206	29
2857	28
3174	41
3126	27
2833	34
3234	36
3006	27
2827	32
3249	32
2903	25
2908	51
3211	28
2858	27
3169	42
3133	25
2832	30
3238	32
3016	25
2825	30
3250	33
2913	28
2893	49
3216	27
2859	27
3157	40
3141	27
2832	31
3233	39
3022	26
2827	32
3249	34
2925	26
2875	47
3217	30
2867	31
3149	44
3148	26
2832	32
3228	37
3036	24
2828	33
3255	32
2926	25
2865	45
3226	28
2870	28
3135	46
3155	25
2835	28
3225	35
3039	26
2825	29
3252	34
2935	27
2857	39
3231	31
2869	28
3120	41
3163	32
2841	31
3225	38
3054	24
2827	30
3248	35
2939	26
2850	40
3226	31
2869	28
3101	48
3168	29
2838	29
3219	36
3058	26
2824	30
3246	32
2948	24
2843	38
3233	29
2870	29
3083	51
3167	28
2837	30
3215	38
3068	26
2822	32
3244	33
2951	27
2835	35
3235	30
2881	29
3058	49
3175	29
2841	31
3206	40
3079	26
2821	30
3243	30
2957	25
2832	40
3233	32
2881	28
3042	54
3174	24
2838	31
3202	40
3086	24
2823	30
3242	32
2963	25
2828	32
3243	32
2879	29
3019	50
3183	26
2841	30
3195	39
3094	25
2822	30
3241	34
2969	24
2825	34
3235	29
2882	27
2997	57
3187	28
2834	38
3195	43
3099	24
2820	31
3242	34
2969	24
2825	35
3237	31
2887	26
2983	56
3187	26
2843	30
3187	42
3102	24
2825	32
3240	32
2980	24
2824	39
3237	33
2893	29
2959	58
3195	32
2842	33
3182	38
3109	26
2824	30
3241	32
2987	25
2829	36
3240	34
2894	27
2938	56
3197	27
2844	28
3178	43
3113	27
2823	32
3240	33
2991	24
2823	33
3243	33
2899	27
2919	55
3205	29
2846	28
3173	41
3120	27
2825	28
3235	37
3000	26
2825	33
3241	32
2900	30
2904	54
3206	28
2848	31
3169	42
3120	26
2827	35
3234	36
3006	24
2823	32
3246	30
2902	26
2887	48
3208	28
2853	27
3166	42
3125	23
2825	35
3232	37
3011	26
2820	34
3245	34
2908	29
2877	45
3208	31
2850	31
3153	43
3133	22
2825	29
3227	35
3014	24
2817	28
3243	33
2914	24
2866	45
3212	28
2853	26
3142	40
3137	27
2825	27
3223	33
3025	26
2815	32
3241	33
2921	27
2856	45
3213	30
2854	30
3131	45
3142	26
2829	30
3222	35
3029	25
2814	32
3239	32
2922	27
2847	41
3211	30
2856	29
3120	43
3146	27
2825	30
3215	38
3037	25
2815	29
3233	30
2933	20
2836	40
3221	29
2857	30
3103	44
3150	32
2820	32
3215	37
3047	20
2809	28
3234	29
2935	24
2827	41
3220	30
2865	27
3086	50
3154	25
2825	30
3207	39
3052	25
2807	29
3232	32
2937	24
2818	34
3225	30
2863	28
3074	48
3159	25
2828	31
3199	36
3064	26
2812	27
3232	33
2946	25
2819	35
3228	32
2863	29
3054	50
3165	28
2831	30
3196	39
3073	29
2810	34
3228	32
2950	24
2817	35
3228	31
2867	29
3029	53
3168	28
2826	34
3185	36
3079	25
2810	32
3228	33
2955	25
2813	33
3222	27
2866	26
3003	55
3172	28
2827	29
3173	38
3082	22
2804	31
3219	34
2960	25
2806	33
3224	32
2867	27
2962	52
3166	27
2823	29
3164	37
3080	29
2800	32
3213	31
2960	26
2795	32
3216	32
2862	22
2929	57
3167	29
2820	32
3150	37
3081	27
2797	28
3205	38
2960	26
2793	34
3210	31
2863	28
2895	54
3164	28
2811	29
3137	43
3084	26
2788	33
3196	35
2960	21
2780	33
3208	34
2863	28
2861	57
3166	30
2806	29
3123	41
3089	21
2782	31
3189	38
2969	23
2775	33
3201	31
2860	22
2840	52
3168	28
2808	25
3106	46
3093	25
2774	26
3181	36
2973	24
2770	30
3200	30
2864	28
2824	44
3164	28
2808	30
3094	47
3098	24
2776	28
3175	35
2978	24
2769	32
3200	35
2869	26
2806	42
3165	32
2809	29
3075	46
3097	26
2773	30
3170	33
2981	26
2763	36
3193	30
2874	24
2793	43
3169	31
2808	30
3058	45
3100	26
2772	30
3162	35
2990	26
2761	31
3191	36
2871	29
2781	40
3169	30
2809	24
3044	47
3103	29
2770	32
3161	33
2998	25
2759	32
3189	32
2880	21
2776	37
3170	29
2805	32
3019	48
3108	26
2769	32
3149	34
3006	22
2754	34
3188	31
2887	26
2771	36
3167	31
2807	26
2999	52
3109	27
2773	32
3147	37
3008	23
2754	30
3182	32
2889	26
2763	35
3172	29
2813	26
2969	53
3113	30
2773	28
3135	35
3019	29
2757	29
3178	33
2901	27
2761	34
3172	29
2814	27
2927	53
3122	29
2774	30
3127	40
3028	26
2755	32
3180	34
2906	28
2758	36
3175	31
2818	26
2894	58
3128	27
2776	32
3116	44
3036	22
2757	29
3175	36
2919	24
2753	34
3175	32
2826	27
2861	55
3134	24
2774	32
3105	41
3049	26
2752	30
3167	35
2925	25
2754	36
3175	32
2830	28
2831	54
3137	27
2777	31
3101	40
3055	24
2758	35
3164	35
2933	23
2747	31
3175	36
2837	26
2813	50
3139	28
2780	32
3093	42
3059	25
2752	32
3159	35
2945	26
2748	35
3179	32
2840	25
2795	54
3146	28
2782	28
3087	45
3067	25
2756	31
3162	33
2953	24
2743	28
3176	32
2844	26
2786	44
3146	32
2779	30
3073	44
3069	27
2758	29
3159	36
2954	24
2742	32
3174	35
2850	30
2779	43
3149	29
2785	29
3063	46
3074	28
2756	36
3153	34
2965	24
2745	32
3174	32
2858	25
2767	39
3154	33
2784	29
3048	48
3079	27
2752	29
3152	34
2976	24
2741	28
3173	34
2858	24
2763	38
3151	30
2789	28
3039	43
3081	26
2756	32
3148	37
2979	25
2741	33
3170	35
2865	23
2756	36
3157	29
2788	29
3022	48
3087	30
2750	29
3142	38
2985	30
2740	32
3167	32
2870	23
2753	35
3159	30
2794	29
3011	47
3090	27
2757	29
3138	38
2993	23
2739	34
3166	30
2878	25
2751	36
3159	35
2794	26
2991	51
3098	27
2757	33
3133	42
3001	24
2741	27
3166	34
2880	28
2745	34
3162	29
2802	28
2965	55
3104	30
2763	28
3125	40
3010	28
2739	32
3167	32
2886	27
2742	32
3162	30
2799	25
2941	52
3106	28
2760	34
3121	37
3016	27
2740	30
3163	34
2895	25
2740	33
3164	32
2800	24
2920	57
3111	28
2765	29
3112	38
3024	24
2740	30
3157	35
2903	25
2743	33
3165	32
2809	29
2884	56
3117	24
2764	30
3103	44
3031	25
2737	32
3155	33
2911	23
2738	34
3168	30
2814	27
2862	52
3121	32
2763	31
3095	46
3039	24
2738	30
3156	35
2917	25
2739	32
3169	28
2818	29
2835	54
3125	28
2768	29
3085	42
3046	27
2743	30
3155	35
2925	26
2737	36
3169	32
2824	26
2807	50
3129	26
2775	28
3074	43
3053	25
2747	30
3149	37
2936	25
2737	33
3171	30
2834	24
2791	44
3133	32
2777	28
3061	43
3063	27
2745	32
3147	35
2944	32
2736	33
3172	33
2836	28
2778	44
3140	32
2779	28
3052	46
3071	24
2745	34
3147	36
2957	24
2737	33
3171	33
2851	26
2770	40
3142	30
2784	30
3035	49
3071	28
2749	28
3143	37
2969	26
2737	29
3172	32
2850	30
2760	38
3146	29
2784	29
3018	54
3078	30
2748	33
3137	40
2980	21
2738	36
3172	35
2864	26
2751	38
3150	28
2786	30
2995	54
3087	29
2753	32
3126	36
2991	25
2736	33
3166	32
2869	26
2752	36
3155	30
2794	32
2967	50
3097	26
2756	32
3123	37
2994	25
2737	32
3165	37
2876	26
2746	35
3157	32
2794	24
2943	54
3098	30
2753	28
3116	42
3007	26
2737	33
3167	34
2885	26
2744	38
3154	31
2802	27
2908	58
3110	26
2756	28
3111	41
3018	26
2737	31
3165	34
2894	25
2741	37
3161	30
2804	27
2875	59
3116	25
2762	31
3105	38
3025	23
2738	32
3161	31
2900	24
2744	32
3159	29
2814	27
2847	58
3120	26
2760	28
3096	42
3027	26
2742	32
3158	37
2909	28
2738	33
3165	32
2818	29
2830	56
3122	28
2765	28
3090	39
3038	24
2739	28
3157	36
2917	24
2737	36
3164	32
2821	26
2810	51
3129	25
2766	29
3085	43
3044	28
2740	31
3154	37
2920	26
2739	33
3167	30
2824	27
2798	48
3129	26
2768	29
3079	42
3053	25
2743	32
3154	35
2929	31
2735	35
3169	31
2830	25
2791	48
3133	27
2771	26
3074	42
3059	26
2742	31
3149	36
2935	24
2736	31
3166	31
2837	28
2777	44
3141	30
2776	25
3067	46
3063	26
2747	28
3150	34
2948	23
2741	32
3166	32
2843	25
2768	42
3145	28
2779	28
3053	42
3074	28
2751	32
3151	34
2961	24
2740	35
3169	32
2853	26
2763	38
3149	30
2787	27
3041	46
3080	26
2753	29
3147	35
2976	23
2741	32
3165	34
2863	26
2757	36
3154	32
2790	29
3028	46
3089	26
2759	32
3142	38
2988	24
2742	30
3173	34
2871	27
2756	35
3161	30
2796	30
3012	51
3101	26
2759	26
3140	39
2999	22
2742	27
3172	34
2881	27
2754	33
3167	33
2799	28
2991	50
3104	27
2769	28
3137	42
3012	25
2748	32
3171	33
2894	26
2755	38
3169	34
2812	26
2969	54
3112	28
2773	27
3132	44
3021	25
2755	32
3173	32
2908	25
2754	38
3178	32
2818	27
2939	52
3123	26
2775	32
3129	39
3039	28
2754	32
3176	36
2919	24
2758	32
3186	35
2829	29
2909	57
3136	29
2787	28
3124	42
3050	25
2762	32
3178	35
2933	22
2766	30
3192	32
2835	27
2885	55
3142	31
2792	29
3123	45
3065	29
2770	30
3181	35
2944	23
2771	32
3196	28
2848	28
2861	56
3155	28
2801	30
3120	39
3075	26
2777	30
3186	34
2958	26
2773	32
3204	30
2857	31
2846	51
3161	29
2808	29
3117	43
3091	25
2778	30
3186	34
2972	25
2774	32
3204	33
2869	27
2829	48
3173	29
2814	28
3109	44
3098	29
2787	32
3183	34
2986	24
2779	28
